run,type,module,name,attrname,attrvalue,value
General-113-20190306-12:47:55-5553,runattr,,,configname,General,
General-113-20190306-12:47:55-5553,runattr,,,datetime,20190306-12:47:55,
General-113-20190306-12:47:55-5553,runattr,,,experiment,General,
General-113-20190306-12:47:55-5553,runattr,,,inifile,omnetpp.ini,
General-113-20190306-12:47:55-5553,runattr,,,iterationvars,"$0=10, $1=.5, $2=150, $3=2",
General-113-20190306-12:47:55-5553,runattr,,,iterationvarsf,"10,.5,150,2-",
General-113-20190306-12:47:55-5553,runattr,,,measurement,"$0=10, $1=.5, $2=150, $3=2",
General-113-20190306-12:47:55-5553,runattr,,,network,PasubioSimulation.MCPasubioScenario,
General-113-20190306-12:47:55-5553,runattr,,,processid,5553,
General-113-20190306-12:47:55-5553,runattr,,,repetition,0,
General-113-20190306-12:47:55-5553,runattr,,,replication,#0,
General-113-20190306-12:47:55-5553,runattr,,,resultdir,results,
General-113-20190306-12:47:55-5553,runattr,,,runnumber,113,
General-113-20190306-12:47:55-5553,runattr,,,seedset,113,
General-113-20190306-12:47:55-5553,param,,,MCPasubioScenario.numRsu,10,
General-113-20190306-12:47:55-5553,param,,,**.debug,false,
General-113-20190306-12:47:55-5553,param,,,**.coreDebug,false,
General-113-20190306-12:47:55-5553,param,,,*.playgroundSizeX,3000m,
General-113-20190306-12:47:55-5553,param,,,*.playgroundSizeY,3000m,
General-113-20190306-12:47:55-5553,param,,,*.playgroundSizeZ,100m,
General-113-20190306-12:47:55-5553,param,,,*.annotations.draw,true,
General-113-20190306-12:47:55-5553,param,,,*.manager.updateInterval,1s,
General-113-20190306-12:47:55-5553,param,,,*.manager.host,"""localhost""",
General-113-20190306-12:47:55-5553,param,,,*.manager.port,9999,
General-113-20190306-12:47:55-5553,param,,,*.manager.autoShutdown,true,
General-113-20190306-12:47:55-5553,param,,,*.manager.launchConfig,"xmldoc(""pasubio.launchd.xml"")",
General-113-20190306-12:47:55-5553,param,,,*.rsu[*].appl.headerLength,80 bit,
General-113-20190306-12:47:55-5553,param,,,*.rsu[*].appl.sendBeacons,false,
General-113-20190306-12:47:55-5553,param,,,*.rsu[*].appl.dataOnSch,false,
General-113-20190306-12:47:55-5553,param,,,*.rsu[*].appl.beaconInterval,1s,
General-113-20190306-12:47:55-5553,param,,,*.connectionManager.sendDirect,true,
General-113-20190306-12:47:55-5553,param,,,*.connectionManager.maxInterfDist,2600m,
