File,Run,runattr:configname,runattr:datetime,runattr:experiment,runattr:inifile,runattr:iterationvars,runattr:iterationvarsf,runattr:measurement,runattr:network,runattr:processid,runattr:repetition,runattr:replication,runattr:resultdir,runattr:runnumber,runattr:seedset,Module,Name,,
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[0].appl,generatedWSMs,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[0].appl,receivedWSMs,5318,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[0].appl,generatedBSMs,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[0].appl,receivedBSMs,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[0].appl,generatedWSAs,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[0].appl,receivedWSAs,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[0].nic.phy80211p,busyTime,0.001233776,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[0].nic.mac1609_4,ReceivedUnicastPackets,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[0].nic.mac1609_4,ReceivedBroadcasts,5318,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[0].nic.mac1609_4,SentPackets,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[0].nic.mac1609_4,SNIRLostPackets,0,NaN
"sixMCs-.5,10,1-#0.sca",sixMCs-0-20190225-00:50:21-5134,sixMCs,20190225-00:50:21,sixMCs,omnetpp.ini,"$0=.5, $1=10, $2=1",".5,10,1-","$0=.5, $1=10, $2=1",PasubioSimulation.MCPasubioScenario,5134,0,#0,results,0,0,MCPasubioScenario.rsu[0].nic.mac1609_4,RXTXLostPackets,0,NaN
