run,type,module,name,attrname,attrvalue,value
General-2-20190312-20:56:20-11959,runattr,,,configname,General,
General-2-20190312-20:56:20-11959,runattr,,,datetime,20190312-20:56:20,
General-2-20190312-20:56:20-11959,runattr,,,experiment,General,
General-2-20190312-20:56:20-11959,runattr,,,inifile,omnetpp.ini,
General-2-20190312-20:56:20-11959,runattr,,,iterationvars,$0=5,
General-2-20190312-20:56:20-11959,runattr,,,iterationvarsf,5-,
General-2-20190312-20:56:20-11959,runattr,,,measurement,$0=5,
General-2-20190312-20:56:20-11959,runattr,,,network,PasubioSimulation.MCPasubioScenario,
General-2-20190312-20:56:20-11959,runattr,,,processid,11959,
General-2-20190312-20:56:20-11959,runattr,,,repetition,0,
General-2-20190312-20:56:20-11959,runattr,,,replication,#0,
General-2-20190312-20:56:20-11959,runattr,,,resultdir,results,
General-2-20190312-20:56:20-11959,runattr,,,runnumber,2,
General-2-20190312-20:56:20-11959,runattr,,,seedset,5,
General-2-20190312-20:56:20-11959,param,,,MCPasubioScenario.numRsu,10,
General-2-20190312-20:56:20-11959,param,,,**.debug,false,
General-2-20190312-20:56:20-11959,param,,,**.coreDebug,false,
General-2-20190312-20:56:20-11959,param,,,*.playgroundSizeX,3000m,
General-2-20190312-20:56:20-11959,param,,,*.playgroundSizeY,3000m,
General-2-20190312-20:56:20-11959,param,,,*.playgroundSizeZ,100m,
General-2-20190312-20:56:20-11959,param,,,*.annotations.draw,true,
General-2-20190312-20:56:20-11959,param,,,*.manager.updateInterval,1s,
General-2-20190312-20:56:20-11959,param,,,*.manager.host,"""localhost""",
General-2-20190312-20:56:20-11959,param,,,*.manager.port,9999,
General-2-20190312-20:56:20-11959,param,,,*.manager.autoShutdown,true,
General-2-20190312-20:56:20-11959,param,,,*.manager.launchConfig,"xmldoc(""pasubio.launchd.xml"")",
General-2-20190312-20:56:20-11959,param,,,*.rsu[*].appl.headerLength,80 bit,
General-2-20190312-20:56:20-11959,param,,,*.rsu[*].appl.sendBeacons,false,
General-2-20190312-20:56:20-11959,param,,,*.rsu[*].appl.dataOnSch,false,
General-2-20190312-20:56:20-11959,param,,,*.rsu[*].appl.beaconInterval,1s,
General-2-20190312-20:56:20-11959,param,,,*.connectionManager.sendDirect,true,
General-2-20190312-20:56:20-11959,param,,,*.connectionManager.maxInterfDist,2600m,
General-2-20190312-20:56:20-11959,param,,,*.connectionManager.drawMaxIntfDist,false,
General-2-20190312-20:56:20-11959,param,,,*.**.nic.mac1609_4.useServiceChannel,false,
General-2-20190312-20:56:20-11959,param,,,*.**.nic.mac1609_4.txPower,20mW,
General-2-20190312-20:56:20-11959,param,,,*.**.nic.mac1609_4.bitrate,6Mbps,
General-2-20190312-20:56:20-11959,param,,,*.**.nic.phy80211p.sensitivity,-89dBm,
General-2-20190312-20:56:20-11959,param,,,*.**.nic.phy80211p.useThermalNoise,true,
General-2-20190312-20:56:20-11959,param,,,*.**.nic.phy80211p.thermalNoise,-110dBm,
General-2-20190312-20:56:20-11959,param,,,*.**.nic.phy80211p.decider,"xmldoc(""config.xml"")",
General-2-20190312-20:56:20-11959,param,,,*.**.nic.phy80211p.analogueModels,"xmldoc(""config.xml"")",
General-2-20190312-20:56:20-11959,param,,,*.**.nic.phy80211p.usePropagationDelay,true,
General-2-20190312-20:56:20-11959,param,,,*.**.nic.phy80211p.antenna,"xmldoc(""antenna.xml"", ""/root/Antenna[@id='monopole']"")",
General-2-20190312-20:56:20-11959,param,,,*.node[*].applType,"""RandomForestApp.NoAppCar""",
General-2-20190312-20:56:20-11959,param,,,*.node[*].appl.headerLength,80 bit,
General-2-20190312-20:56:20-11959,param,,,*.node[*].appl.sendBeacons,false,
General-2-20190312-20:56:20-11959,param,,,*.node[*].appl.dataOnSch,false,
General-2-20190312-20:56:20-11959,param,,,*.node[*].appl.beaconInterval,1s,
General-2-20190312-20:56:20-11959,param,,,*.node[*].veinsmobilityType.debug,true,
General-2-20190312-20:56:20-11959,param,,,*.node[*].veinsmobility.x,-1,
General-2-20190312-20:56:20-11959,param,,,*.node[*].veinsmobility.y,-1,
General-2-20190312-20:56:20-11959,param,,,*.node[*].veinsmobility.z,1.895,
General-2-20190312-20:56:20-11959,param,,,*.rsu[0].mobility.x,500,
General-2-20190312-20:56:20-11959,param,,,*.rsu[0].mobility.y,500,
General-2-20190312-20:56:20-11959,param,,,*.rsu[0].mobility.z,0,
General-2-20190312-20:56:20-11959,param,,,*.rsu[1].mobility.x,400,
General-2-20190312-20:56:20-11959,param,,,*.rsu[1].mobility.y,400,
General-2-20190312-20:56:20-11959,param,,,*.rsu[1].mobility.z,0,
General-2-20190312-20:56:20-11959,param,,,*.rsu[2].mobility.x,410,
General-2-20190312-20:56:20-11959,param,,,*.rsu[2].mobility.y,410,
General-2-20190312-20:56:20-11959,param,,,*.rsu[2].mobility.z,0,
General-2-20190312-20:56:20-11959,param,,,*.rsu[3].mobility.x,420,
General-2-20190312-20:56:20-11959,param,,,*.rsu[3].mobility.y,420,
General-2-20190312-20:56:20-11959,param,,,*.rsu[3].mobility.z,0,
General-2-20190312-20:56:20-11959,param,,,*.rsu[4].mobility.x,500,
General-2-20190312-20:56:20-11959,param,,,*.rsu[4].mobility.y,500,
General-2-20190312-20:56:20-11959,param,,,*.rsu[4].mobility.z,0,
General-2-20190312-20:56:20-11959,param,,,*.rsu[5].mobility.x,450,
General-2-20190312-20:56:20-11959,param,,,*.rsu[5].mobility.y,450,
General-2-20190312-20:56:20-11959,param,,,*.rsu[5].mobility.z,0,
General-2-20190312-20:56:20-11959,param,,,*.rsu[6].mobility.x,510,
General-2-20190312-20:56:20-11959,param,,,*.rsu[6].mobility.y,420,
General-2-20190312-20:56:20-11959,param,,,*.rsu[6].mobility.z,0,
General-2-20190312-20:56:20-11959,param,,,*.rsu[7].mobility.x,350,
General-2-20190312-20:56:20-11959,param,,,*.rsu[7].mobility.y,350,
General-2-20190312-20:56:20-11959,param,,,*.rsu[7].mobility.z,0,
General-2-20190312-20:56:20-11959,param,,,*.rsu[8].mobility.x,360,
General-2-20190312-20:56:20-11959,param,,,*.rsu[8].mobility.y,360,
General-2-20190312-20:56:20-11959,param,,,*.rsu[8].mobility.z,0,
General-2-20190312-20:56:20-11959,param,,,*.rsu[9].mobility.x,370,
