0,1,2,3,4,5,6,7,8
0,0,0,2,0,0,0,0,0
0,0,0,2,0,0,0,0,0
0,0,0,2,0,0,0,0,0
0,0,0,2,0,0,0,0,0
0,0,0,3,0,0,0,0,0
0,0,0,3,0,0,0,0,0
0,0,0,3,0,0,0,0,0
0,0,0,3,0,0,0,0,0
0,0,0,3,0,0,0,0,0
0,0,0,4,0,0,0,0,0
0,0,0,4,0,0,0,0,0
1,0,0,4,0,0,0,0,0
1,0,0,4,0,0,0,0,0
1,0,0,4,0,0,0,0,0
0,0,1,5,0,0,0,0,0
0,0,1,5,0,0,0,0,0
0,0,1,5,0,0,0,0,0
1,0,1,5,0,0,0,0,0
1,0,1,5,0,0,0,0,0
2,0,1,6,0,0,0,0,0
2,0,2,6,0,0,0,0,0
3,0,2,6,0,0,0,0,0
2,0,3,8,0,0,0,0,0
4,0,3,8,0,0,0,0,0
4,0,3,9,0,0,0,0,0
5,0,3,9,0,0,0,0,0
4,0,4,9,0,0,0,0,0
4,0,4,10,0,0,0,0,0
5,0,4,10,0,0,0,0,0
5,0,4,11,0,0,0,0,0
5,0,4,11,0,0,0,0,0
5,0,5,11,0,0,0,0,0
5,0,5,11,0,0,0,0,0
5,0,5,12,0,0,0,0,0
5,0,5,13,0,0,0,0,0
5,0,5,13,0,0,0,0,0
4,1,5,13,0,0,0,0,0
5,1,5,13,0,0,0,0,0
6,1,5,14,0,0,0,0,0
5,2,5,15,0,0,0,0,0
6,2,5,15,0,0,0,0,0
4,3,6,15,0,0,0,0,0
5,3,6,15,0,0,0,0,0
5,3,6,16,0,0,0,0,0
5,3,6,16,0,0,0,0,0
6,3,6,17,0,0,0,0,0
7,3,6,17,0,1,0,0,0
7,3,6,17,0,2,0,0,0
7,3,6,18,0,2,0,0,0
6,4,6,18,0,2,0,0,0
6,4,6,18,0,2,0,0,0
7,4,6,18,0,2,0,0,0
7,4,6,18,0,2,0,1,0
7,4,6,20,0,3,0,1,0
7,4,6,20,0,3,0,1,0
8,3,6,21,0,3,0,1,0
